年月日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),平均海面気圧(hPa),平均湿度(％),平均雲量(10分比),天気概況(昼：06時～18時)
2001/1/1,8.0,2.2,0.5,4.1,1.8,1012.8,67,7.3,曇時々晴一時雨
2001/1/2,10.7,0.4,0.0,1.4,1.7,1011.5,66,6.3,曇時々晴
2001/1/3,8.2,1.2,0.0,5.0,2.3,1015.7,46,4.3,晴一時曇
2001/1/4,6.1,-0.2,0.0,4.1,2.4,1018.8,57,4.0,曇時々晴
2001/1/5,5.8,0.9,0.0,0.2,2.1,1024.9,66,10.0,曇後時々雨、みぞれを伴う
2001/1/6,6.3,1.6,0.0,4.3,2.1,1029.6,67,7.8,雪一時晴、みぞれを伴う
2001/1/7,7.6,0.6,13.5,0,1.3,1023.1,75,10.0,曇後雪、みぞれを伴う
2001/1/8,12.2,5.0,7.5,3.7,1.8,1015.0,80,7.5,曇時々晴一時雨
2001/1/9,9.7,2.0,11.0,0,1.3,1018.3,84,10.0,曇後雨
2001/1/10,12.1,4.0,7.5,4.5,2.0,1011.1,70,5.8,曇後晴
2001/1/11,11.0,0.4,0.0,5.4,1.6,1012.5,67,6.0,晴後時々曇
2001/1/12,8.1,1.5,0,7.5,1.9,1016.1,43,2.3,晴
2001/1/13,5.3,1.0,0,0.4,1.5,1014.2,54,10.0,曇
2001/1/14,4.6,-1.4,0.0,6.2,2.2,1012.1,60,3.5,晴時々曇一時雪
2001/1/15,3.9,-3.8,0,8.5,2.2,1018.0,45,1.8,晴
2001/1/16,4.9,-3.1,0,6.5,1.8,1021.0,47,3.5,晴一時曇
2001/1/17,6.1,-2.2,0.0,2.3,1.8,1025.1,58,6.3,曇時々晴一時雪
2001/1/18,7.8,-2.3,0.0,4.2,1.6,1025.4,67,3.3,晴後一時雨
2001/1/19,6.2,0.5,0.0,1.4,1.9,1028.9,61,7.5,曇一時雪
2001/1/20,2.7,-1.2,19.0,0,1.0,1018.6,82,8.3,雪一時曇、みぞれを伴う
2001/1/21,8.5,1.4,0.0,4.2,1.4,1017.6,77,6.8,晴時々曇
2001/1/22,9.2,1.5,0,1.6,1.1,1021.2,72,10.0,曇一時晴
2001/1/23,11.4,1.2,0.5,7.8,1.8,1021.8,73,6.8,晴後一時雨
2001/1/24,6.3,0.7,0.0,1.6,1.5,1027.2,70,9.5,曇
2001/1/25,8.0,0.9,22.5,0,0.9,1018.7,81,10.0,雨一時曇
2001/1/26,9.3,4.6,9.5,0.1,2.2,1011.4,72,10.0,曇後雨
2001/1/27,7.4,4.2,22.5,0.2,1.6,1007.3,83,9.3,雨後一時曇
2001/1/28,9.6,2.0,0.0,2.9,1.7,1013.4,69,9.3,晴時々曇
2001/1/29,8.1,0.5,0.0,5.7,1.9,1018.9,65,5.0,曇時々晴一時雪
2001/1/30,9.1,-2.0,0.0,6.5,1.4,1021.4,65,3.3,晴一時曇
2001/1/31,9.2,0.1,0.0,6.2,1.3,1021.0,62,10.0,曇一時晴
2001/2/1,8.2,2.7,21.0,0.4,1.7,1012.3,74,10.0,雨後曇
2001/2/2,6.9,0.0,0.0,3.9,2.0,1018.1,59,6.8,曇後一時雪
2001/2/3,7.3,-1.4,0.0,4.4,1.4,1025.0,68,6.8,曇時々晴一時雪
2001/2/4,7.7,0.6,0,0.5,1.2,1026.9,66,10.0,曇
2001/2/5,12.6,3.1,0.0,1.1,1.2,1022.4,68,9.3,曇
2001/2/6,8.5,3.8,6.5,0,1.3,1016.6,81,9.8,雨後曇
2001/2/7,8.7,2.0,1.5,0.7,1.2,1015.5,77,7.5,曇後雨
2001/2/8,8.4,0.7,0.0,2.6,1.9,1017.7,67,8.0,曇時々晴
2001/2/9,10.1,0.4,0.0,4.1,1.4,1023.1,63,6.8,曇一時みぞれ後時々晴
2001/2/10,8.2,0.4,0.0,2.9,1.6,1026.3,65,6.8,曇時々晴
2001/2/11,10.2,-1.7,0.0,7.1,1.7,1029.8,62,5.0,晴後一時曇
2001/2/12,7.4,1.4,0,0.4,1.6,1028.0,51,10.0,曇
2001/2/13,6.6,1.2,0,0.1,1.3,1018.8,62,10.0,曇
2001/2/14,7.2,0.8,0.5,5.9,2.5,1016.2,68,4.0,曇時々晴一時雪
2001/2/15,7.2,-0.6,0.0,5.5,1.4,1022.1,65,7.5,曇時々晴
2001/2/16,6.2,0.2,0.0,2.7,2.0,1020.0,68,7.5,曇一時みぞれ後時々雪
2001/2/17,8.2,-1.6,0.0,4.7,1.6,1026.8,67,7.5,曇一時晴
2001/2/18,13.3,0.0,0,6.9,1.3,1019.5,63,7.8,晴時々曇
2001/2/19,14.8,2.5,0.0,7.0,1.8,1018.8,61,3.5,晴
2001/2/20,12.8,1.9,0.0,10.4,1.9,1023.0,44,3.5,晴
2001/2/21,12.9,0.4,2.0,2.4,0.9,1017.9,59,8.0,晴後曇
2001/2/22,17.2,5.4,0.5,9.8,1.3,1017.5,68,2.8,晴
2001/2/23,19.2,3.8,10.0,6.3,1.2,1012.7,70,5.5,晴後曇
2001/2/24,10.5,5.8,11.5,0,1.9,1006.2,77,10.0,曇
2001/2/25,7.2,1.4,0.0,5.0,2.2,1020.6,67,5.8,晴時々みぞれ一時雪、あられを伴う
2001/2/26,8.1,0.5,0.0,5.1,2.1,1030.5,59,7.3,晴時々曇
2001/2/27,14.6,-1.7,0,10.7,1.2,1028.9,49,1.8,快晴
2001/2/28,9.4,5.0,25.5,0,1.0,1016.4,75,10.0,雨
2001/3/1,9.4,5.7,11.0,0,1.7,1008.0,76,10.0,曇
2001/3/2,10.0,2.5,1.5,5.3,2.2,1019.1,64,7.5,曇時々晴一時雨
2001/3/3,11.4,0.7,0.5,1.7,1.3,1021.2,60,7.5,曇
2001/3/4,12.0,2.4,31.0,3.4,2.3,1003.2,70,7.5,雨後曇一時晴
2001/3/5,10.2,0.4,0,5.7,2.5,1010.9,49,2.5,晴時々曇
2001/3/6,15.3,3.1,0,7.2,2.1,1016.6,49,5.5,晴
2001/3/7,11.8,3.1,0.0,1.7,2.1,1010.8,64,9.0,曇
2001/3/8,9.5,-0.5,3.5,3.5,2.1,1010.0,69,8.8,曇時々みぞれ一時雪、あられを伴う
2001/3/9,6.4,-1.1,4.5,7.3,1.9,1015.9,70,4.5,曇時々雪後晴
2001/3/10,10.5,-1.3,2.5,2.8,1.8,1017.4,67,5.3,晴後曇一時雨
2001/3/11,7.5,0.4,0.0,4.2,1.8,1020.8,62,7.5,曇時々晴
2001/3/12,11.6,-1.6,0.0,8.6,1.9,1016.1,58,4.3,晴時々曇
2001/3/13,8.5,1.3,0.0,3.3,2.3,1022.7,59,6.8,雪後曇時々晴
2001/3/14,18.1,0.1,0,9.9,1.6,1022.7,59,2.3,晴
2001/3/15,14.0,6.0,3.0,0.4,2.0,1015.4,67,9.3,曇一時雨
2001/3/16,14.5,2.0,0,10.0,1.5,1019.2,48,5.8,晴
2001/3/17,10.7,5.6,0.5,0,1.4,1012.1,73,10.0,雨
2001/3/18,17.4,7.2,3.5,6.0,2.0,1009.7,61,5.5,晴一時雨
2001/3/19,19.3,3.4,0,10.5,2.0,1013.3,51,3.8,晴
2001/3/20,19.5,5.7,0,7.2,1.9,1008.9,51,8.5,薄曇
2001/3/21,21.2,8.1,0,7.5,1.7,1008.4,42,6.8,晴後薄曇
2001/3/22,23.0,5.9,0.0,9.5,1.8,1009.1,44,2.5,晴
2001/3/23,18.6,8.1,0,2.1,1.6,1014.4,51,7.8,曇
2001/3/24,21.4,5.1,0,9.2,1.7,1015.6,54,5.0,晴時々薄曇
2001/3/25,15.8,13.0,9.5,0,1.8,1007.3,79,10.0,雨
2001/3/26,16.5,6.5,8.0,9.2,2.6,1006.8,58,5.0,晴一時曇
2001/3/27,15.2,3.9,0,7.3,1.7,1014.9,53,7.3,薄曇
2001/3/28,13.1,6.2,1.0,0,1.0,1010.7,66,10.0,曇後一時雨
2001/3/29,14.6,6.4,0.0,0.5,1.9,1003.9,69,8.0,曇
2001/3/30,12.3,3.8,2.5,5.7,2.6,1011.5,63,7.0,曇一時雨
2001/3/31,10.1,2.3,4.5,3.7,1.8,1014.3,76,6.8,曇時々雨後一時晴
2001/4/1,12.9,0.7,0.0,6.2,1.3,1019.9,63,4.3,晴時々曇
2001/4/2,19.6,2.3,0,10.4,2.3,1016.5,58,4.8,晴
2001/4/3,14.3,6.1,0.0,0.2,1.5,1013.3,69,9.8,曇時々雨
2001/4/4,14.5,4.4,0.0,9.3,2.7,1019.4,50,3.0,曇後晴
2001/4/5,20.0,2.4,0,11.4,2.0,1021.4,51,4.8,薄曇
2001/4/6,23.4,7.4,0,11.2,1.5,1020.1,54,5.5,晴
2001/4/7,24.7,9.2,0,11.1,1.6,1018.9,52,0.8,晴
2001/4/8,23.7,11.7,0,7.8,2.4,1018.9,59,6.8,晴
2001/4/9,21.8,15.5,0,1.4,3.0,1016.8,58,10.0,曇
2001/4/10,26.7,12.5,0,9.7,1.5,1014.3,53,8.0,薄曇
2001/4/11,26.6,13.1,0,6.4,1.8,1007.4,51,7.5,曇時々晴
2001/4/12,17.3,8.6,9.0,0.6,1.9,1004.4,73,10.0,雨
2001/4/13,18.5,7.3,0.0,4.9,1.8,1015.3,55,5.5,晴時々曇
2001/4/14,21.3,7.3,0.5,5.3,1.9,1016.9,59,6.3,曇一時晴
2001/4/15,22.4,8.0,0.0,10.0,1.9,1017.0,55,2.0,晴
2001/4/16,24.8,8.2,0,11.1,1.8,1018.7,45,2.5,晴
2001/4/17,25.4,10.9,0,10.2,1.7,1017.8,47,10.0,薄曇
2001/4/18,20.5,14.8,0.0,1.2,2.1,1013.2,52,10.0,曇
2001/4/19,27.1,14.1,0.0,11.1,2.0,1007.1,39,4.3,快晴
2001/4/20,18.9,8.9,0,8.4,2.6,1013.6,51,5.5,曇時々晴
2001/4/21,13.8,8.9,0.0,0,1.3,1013.2,65,10.0,曇時々雨
2001/4/22,16.9,6.8,0,7.8,3.1,1014.1,50,4.0,晴
2001/4/23,23.6,4.1,0,12.1,2.1,1018.9,44,2.8,晴
2001/4/24,18.1,12.1,5.0,0,1.1,1015.3,71,10.0,曇時々雨
2001/4/25,17.5,9.1,6.0,3.8,1.8,1013.6,66,8.8,雨後曇一時晴
2001/4/26,19.9,5.7,0,12.3,2.0,1018.1,44,2.8,晴
2001/4/27,22.7,5.6,0,12.0,1.5,1020.4,32,3.8,晴
2001/4/28,24.8,8.5,0,9.3,1.6,1020.9,41,8.3,薄曇
2001/4/29,19.7,14.1,5.5,0,1.6,1017.9,76,10.0,曇後雨
2001/4/30,22.5,14.7,1.0,0,1.6,1009.4,74,10.0,曇
2001/5/1,24.6,12.8,0,3.0,2.0,1012.7,66,7.5,曇一時晴
2001/5/2,16.4,12.3,30.5,0,3.0,1010.3,77,10.0,雨
2001/5/3,17.9,11.9,1.5,0.3,1.6,1013.3,74,8.5,曇
2001/5/4,22.2,11.7,0,5.9,1.5,1018.7,61,9.8,曇時々晴
2001/5/5,22.8,10.2,0,2.6,1.6,1020.5,64,10.0,曇
2001/5/6,25.4,15.1,1.5,4.0,1.9,1020.0,69,10.0,曇後一時雨
2001/5/7,26.0,14.3,1.5,4.1,2.2,1013.8,70,8.0,晴後曇一時雨
2001/5/8,22.5,18.1,11.0,0,1.8,1003.7,80,10.0,雨後曇
2001/5/9,28.7,16.7,0.0,5.5,1.6,1002.8,71,7.3,曇時々晴
2001/5/10,25.4,15.1,0,4.5,1.8,1009.3,57,9.0,曇後晴
2001/5/11,25.2,11.7,0.0,6.8,1.9,1012.9,49,6.0,晴後曇
2001/5/12,25.7,10.5,0,12.6,1.7,1015.5,47,1.0,晴
2001/5/13,28.5,10.6,0,12.9,1.9,1017.6,38,0.0,快晴
2001/5/14,27.3,12.8,0,7.0,1.5,1018.5,46,7.5,薄曇
2001/5/15,27.3,16.1,0,4.8,2.4,1013.3,55,9.5,曇時々晴
2001/5/16,29.2,15.0,0,7.0,2.0,1009.5,53,6.8,曇一時晴
2001/5/17,26.6,11.3,0,11.9,2.0,1012.0,34,5.3,薄曇時々晴
2001/5/18,29.1,14.1,0,7.3,1.9,1012.0,49,8.0,晴時々曇
2001/5/19,27.8,16.1,0,10.3,2.2,1011.0,55,1.5,晴
2001/5/20,31.5,15.9,0,12.0,2.0,1011.8,52,7.3,晴時々薄曇
2001/5/21,27.5,16.7,0.0,1.4,2.0,1010.6,59,7.5,薄曇
2001/5/22,22.0,18.7,19.0,0,2.8,1007.5,76,10.0,雨
2001/5/23,21.3,17.8,33.5,0,1.2,1002.5,87,10.0,雨
2001/5/24,24.4,18.5,22.5,0.3,1.7,1000.0,81,10.0,曇一時雨
2001/5/25,26.8,18.5,0.0,6.4,1.9,1007.8,67,10.0,曇
2001/5/26,30.3,16.7,0,7.4,1.9,1009.0,64,9.8,薄曇
2001/5/27,23.7,16.6,5.5,0.5,1.4,1007.2,73,10.0,雨後曇
2001/5/28,27.6,14.6,0.0,11.0,1.7,1009.0,57,5.8,晴
2001/5/29,28.7,14.1,0,8.0,2.1,1013.2,52,7.8,晴時々曇
2001/5/30,25.0,19.0,8.0,0,2.5,1011.4,71,10.0,曇後雨
2001/5/31,22.6,16.0,14.0,0,1.6,1003.5,78,9.8,雨後曇
2001/6/1,26.4,14.2,0,6.7,1.7,1010.2,59,8.0,薄曇
2001/6/2,28.3,15.0,0,10.1,1.8,1012.8,50,7.0,晴時々曇
2001/6/3,30.4,14.0,0,11.5,1.8,1012.0,44,7.3,晴後薄曇
2001/6/4,30.2,16.6,0,11.7,1.9,1009.6,47,8.8,薄曇
2001/6/5,25.4,18.7,9.0,0,2.0,1009.1,69,10.0,曇後雨
2001/6/6,22.9,18.6,16.5,0,1.3,1006.7,88,10.0,雨
2001/6/7,26.1,20.0,0.5,2.7,1.7,1006.9,76,8.8,曇一時雨
2001/6/8,28.9,19.4,0,6.1,1.7,1009.7,65,9.0,曇時々晴
2001/6/9,31.3,18.8,0,7.2,1.8,1011.1,63,7.5,晴後曇
2001/6/10,30.1,20.6,0.5,3.4,1.7,1008.9,67,10.0,曇後一時雨
2001/6/11,27.9,17.7,0,11.0,2.9,1008.6,56,3.3,晴
2001/6/12,29.5,14.9,0,10.8,1.7,1007.7,52,7.5,薄曇
2001/6/13,29.5,18.4,0.0,4.4,2.4,1005.2,58,8.8,曇時々晴
2001/6/14,22.0,18.8,46.5,0,1.3,1002.2,85,10.0,大雨後一時曇
2001/6/15,23.3,17.5,10.5,0.3,1.8,1005.4,76,9.8,曇一時雨
2001/6/16,25.9,17.5,0,3.1,1.8,1011.3,65,10.0,曇一時晴
2001/6/17,29.4,17.9,0,4.5,1.6,1012.1,64,10.0,曇
2001/6/18,29.7,20.4,0.0,0.6,1.6,1009.8,66,10.0,曇
2001/6/19,29.3,21.5,87.0,0,2.1,1003.6,82,10.0,曇後雨
2001/6/20,27.6,21.0,16.5,1.1,2.3,1004.4,76,10.0,曇一時雨
2001/6/21,25.1,19.8,0.0,0.4,1.6,1008.6,71,10.0,雨後曇
2001/6/22,26.4,20.2,0.0,0.3,1.6,1010.4,75,10.0,曇一時雨
2001/6/23,23.5,20.1,7.5,0,1.0,1015.0,84,10.0,雨
2001/6/24,31.0,20.6,11.5,1.8,1.3,1013.8,79,9.8,雨後曇
2001/6/25,32.7,24.4,0.0,4.1,2.4,1009.1,71,10.0,曇時々晴
2001/6/26,34.2,26.0,0.0,4.3,1.9,1006.8,65,7.5,曇後時々晴
2001/6/27,32.8,23.7,0.0,8.3,2.4,1005.4,64,9.3,曇後晴
2001/6/28,31.0,22.1,0,5.4,1.8,1006.9,65,8.5,薄曇一時晴
2001/6/29,32.4,25.1,0.0,3.5,1.7,1005.8,66,10.0,曇時々晴
2001/6/30,29.7,23.8,9.5,0.1,1.9,1004.3,76,10.0,曇時々雨
2001/7/1,32.7,25.1,0,7.2,2.3,1008.9,61,4.8,曇後晴
2001/7/2,34.5,22.6,0,5.2,1.5,1012.1,64,4.3,曇後晴
2001/7/3,34.0,25.1,0,5.0,1.6,1010.6,64,4.0,曇後晴
2001/7/4,36.6,24.6,0,12.1,2.1,1008.2,56,3.0,晴一時薄曇
2001/7/5,37.1,23.8,5.5,10.8,1.9,1008.1,58,5.3,晴後一時曇
2001/7/6,27.5,24.1,3.0,0,1.7,1009.5,79,10.0,曇時々雨
2001/7/7,31.4,22.5,0,7.0,1.8,1009.5,62,10.0,薄曇
2001/7/8,33.8,23.0,0,10.9,2.3,1008.3,55,6.5,晴
2001/7/9,33.0,22.2,0,2.9,1.7,1009.6,53,9.8,曇時々晴
2001/7/10,33.6,22.7,0.0,6.0,1.8,1008.6,54,9.0,晴時々曇
2001/7/11,34.1,24.1,0,5.9,2.2,1006.1,58,5.8,晴一時曇
2001/7/12,34.2,25.8,9.5,4.9,2.8,1005.6,72,9.0,曇時々晴一時雨
2001/7/13,35.0,26.1,0.0,3.7,2.0,1009.0,68,7.0,曇後晴
2001/7/14,36.6,25.6,0.0,8.3,1.8,1011.4,63,7.5,晴時々曇
2001/7/15,35.8,24.7,40.5,4.5,1.9,1010.0,68,6.8,曇時々晴一時雨、雷を伴う
2001/7/16,27.3,23.8,13.5,0,1.2,1006.9,84,8.8,雨後一時曇
2001/7/17,33.8,23.2,0.0,3.7,1.5,1006.3,74,9.5,曇後一時雨、雷を伴う
2001/7/18,33.2,23.2,0.0,5.9,1.7,1007.6,66,9.5,曇後晴
2001/7/19,34.2,23.8,0.5,8.0,1.7,1008.6,64,6.8,晴時々曇
2001/7/20,35.5,23.7,10.0,8.6,1.6,1009.0,65,7.0,晴一時曇
2001/7/21,35.5,24.9,0,10.1,2.4,1011.7,65,4.8,晴
2001/7/22,36.3,26.5,0,9.7,2.0,1013.1,61,3.8,晴
2001/7/23,36.4,26.4,18.0,3.7,1.7,1011.5,70,7.3,曇時々晴一時雨
2001/7/24,37.2,25.5,0.0,10.5,1.7,1009.3,63,3.0,晴
2001/7/25,35.1,26.0,0,11.9,2.4,1009.2,59,3.8,晴
2001/7/26,33.9,23.3,0,12.0,2.6,1008.0,58,3.3,晴
2001/7/27,34.0,25.2,0.0,5.0,1.8,1008.6,61,6.5,晴時々曇
2001/7/28,33.4,24.8,0.0,5.0,2.0,1010.4,63,6.0,晴時々曇
2001/7/29,34.5,26.5,0,6.9,1.9,1012.0,59,7.0,晴時々曇
2001/7/30,35.5,24.4,0,9.4,2.1,1012.1,60,4.0,晴
2001/7/31,36.9,25.3,0,8.0,1.9,1011.0,63,6.3,晴、雷を伴う
2001/8/1,37.6,25.2,0,9.9,1.7,1011.0,59,2.0,晴
2001/8/2,38.2,26.1,0,8.3,1.8,1014.3,62,5.3,晴一時曇、雷を伴う
2001/8/3,37.9,28.2,0,5.3,1.6,1017.3,63,6.3,晴時々曇、雷を伴う
2001/8/4,37.3,25.4,0,10.6,2.2,1014.4,58,6.5,晴時々曇
2001/8/5,35.9,25.2,0,10.4,2.2,1010.2,55,6.8,晴時々曇
2001/8/6,34.4,24.5,0.0,2.5,1.6,1007.8,67,8.3,曇時々晴、雷を伴う
2001/8/7,32.9,25.3,1.5,1.2,1.6,1008.1,73,10.0,曇一時雨、雷を伴う
2001/8/8,34.2,25.1,0.0,3.4,1.6,1009.4,69,10.0,曇一時晴
2001/8/9,32.8,25.4,0.5,0.9,1.5,1009.8,74,10.0,曇一時雨
2001/8/10,33.0,25.2,2.0,0.7,1.4,1010.6,74,10.0,曇一時雨
2001/8/11,34.0,25.4,0,8.6,2.4,1011.0,60,5.5,曇後晴
2001/8/12,34.9,23.2,0.0,5.8,1.9,1011.5,65,5.0,晴後曇
2001/8/13,33.9,26.7,0.0,4.7,2.6,1013.8,63,7.3,曇時々晴
2001/8/14,36.4,25.4,0,8.4,1.7,1015.1,60,3.0,晴
2001/8/15,38.0,26.8,0,8.7,1.9,1014.3,58,3.3,晴
2001/8/16,35.5,26.5,0.0,5.6,2.0,1011.3,60,6.0,晴後曇
2001/8/17,35.1,26.5,0,7.6,2.5,1008.4,56,8.3,晴一時曇
2001/8/18,35.5,26.3,0.0,4.5,2.2,1008.7,57,9.3,曇時々晴
2001/8/19,33.5,25.4,0,5.0,3.0,1012.7,57,7.8,曇時々晴
2001/8/20,28.4,24.1,1.5,0.1,3.5,1009.1,59,9.8,曇後時々雨
2001/8/21,26.3,23.3,59.5,0,4.8,991.6,80,10.0,雨
2001/8/22,31.3,23.1,22.5,5.5,2.5,990.6,71,6.3,曇一時雨後晴
2001/8/23,34.8,21.2,0,11.0,1.6,999.7,62,1.8,晴
2001/8/24,35.4,22.1,0,9.3,1.6,1004.4,58,3.5,晴
2001/8/25,33.7,25.2,0.0,4.0,1.6,1007.8,64,6.3,曇時々晴
2001/8/26,26.8,23.9,0.0,0,1.5,1008.4,77,8.3,雨
2001/8/27,32.4,22.7,0,8.9,2.1,1007.5,62,6.0,晴
2001/8/28,31.2,20.7,0,9.0,1.8,1008.8,61,6.0,晴時々曇
2001/8/29,31.2,20.9,0,7.9,1.8,1009.0,62,3.5,晴
2001/8/30,30.5,20.4,8.5,2.1,1.4,1008.2,71,10.0,曇一時雨
2001/8/31,29.3,20.0,3.5,5.7,1.9,1006.3,68,6.5,曇後晴
2001/9/1,28.6,18.5,0,5.7,1.6,1008.1,64,7.0,曇一時晴
2001/9/2,29.6,20.1,0.5,4.5,1.2,1012.0,68,10.0,曇
2001/9/3,24.5,19.3,11.0,0,1.5,1013.2,77,10.0,雨
2001/9/4,29.7,19.4,0.0,6.4,1.8,1011.6,69,8.5,晴時々曇
2001/9/5,29.2,19.2,0.0,4.7,1.8,1012.0,66,5.5,晴後曇
2001/9/6,29.7,23.4,0.5,0.7,2.5,1010.6,66,10.0,曇
2001/9/7,24.0,22.3,56.5,0,1.4,1010.2,87,10.0,大雨
2001/9/8,32.2,22.6,0,5.9,1.7,1011.2,70,7.8,晴時々曇
2001/9/9,32.9,24.1,2.0,4.0,1.5,1008.0,72,7.0,曇時々晴一時雨
2001/9/10,27.0,24.5,15.5,0,2.2,998.9,80,10.0,雨
2001/9/11,29.7,22.4,0.0,4.5,2.3,1002.5,70,8.8,曇時々晴一時雨
2001/9/12,28.1,20.5,0,9.7,2.3,1009.9,65,4.0,晴時々曇
2001/9/13,31.2,21.1,0.0,8.4,1.4,1012.2,65,8.8,晴時々曇
2001/9/14,29.7,23.1,13.0,1.5,1.8,1013.1,76,10.0,曇後時々雨
2001/9/15,30.5,22.7,23.0,1.4,1.3,1010.5,81,9.8,曇後雨
2001/9/16,27.8,21.4,0.0,1.9,1.8,1007.9,73,9.3,曇一時晴
2001/9/17,31.4,21.1,0,7.5,1.4,1007.1,69,6.3,晴時々曇
2001/9/18,31.8,21.2,0,9.0,1.4,1009.0,65,2.8,晴
2001/9/19,31.1,19.4,0,8.5,1.6,1013.2,61,2.0,晴
2001/9/20,31.4,19.2,0,11.0,1.8,1015.0,53,0.0,快晴
2001/9/21,23.8,18.1,0.5,0,1.7,1016.4,67,9.0,曇後雨
2001/9/22,23.4,15.2,0,11.1,3.3,1021.7,48,1.0,快晴
2001/9/23,26.3,11.6,0,11.0,1.6,1022.6,54,0.8,晴
2001/9/24,27.6,12.7,0,11.0,1.4,1017.8,57,0.3,快晴
2001/9/25,28.4,14.1,0,8.5,1.4,1013.1,57,5.3,晴
2001/9/26,28.1,17.0,0,6.6,1.5,1015.5,61,6.5,晴後時々曇
2001/9/27,27.5,17.9,0,1.7,1.5,1016.4,68,9.3,曇一時晴
2001/9/28,26.7,16.9,1.5,6.5,2.3,1017.8,59,5.3,曇後晴
2001/9/29,26.4,12.6,0,9.7,1.6,1021.2,53,5.8,晴一時薄曇
2001/9/30,21.7,19.5,6.5,0,2.6,1014.1,75,10.0,雨
2001/10/1,27.5,18.9,57.5,0.8,1.5,1003.0,79,7.8,大雨後曇
2001/10/2,25.0,15.7,0.0,7.2,2.4,1013.6,61,5.5,晴一時雨
2001/10/3,26.9,13.6,0.0,9.2,1.6,1018.8,62,3.5,晴後一時薄曇
2001/10/4,21.6,14.6,2.5,0,0.9,1017.6,83,9.5,雨後一時曇
2001/10/5,27.0,17.5,0.0,1.5,1.4,1015.9,71,10.0,曇
2001/10/6,25.5,15.1,0,9.3,2.0,1019.0,60,6.8,晴時々曇
2001/10/7,26.2,13.6,0,6.9,1.7,1019.3,65,9.5,晴時々曇
2001/10/8,25.7,16.2,0,1.8,1.3,1015.0,64,9.3,曇
2001/10/9,26.0,17.4,5.0,1.9,1.8,1012.0,70,10.0,曇一時晴
2001/10/10,22.5,17.0,43.0,0,1.8,1010.3,84,9.8,曇時々雨
2001/10/11,26.3,14.4,0,9.0,1.5,1013.1,71,2.8,晴
2001/10/12,25.8,15.3,0,5.5,1.6,1014.2,65,4.8,曇時々晴
2001/10/13,23.4,13.4,0,7.0,1.7,1015.2,68,2.3,晴一時曇
2001/10/14,23.9,12.4,0,8.3,1.5,1018.2,65,4.0,晴時々曇
2001/10/15,26.0,10.8,0,10.4,1.5,1021.9,60,1.0,快晴
2001/10/16,22.5,17.5,6.5,0,1.6,1018.6,74,9.0,曇後一時雨
2001/10/17,18.5,15.2,31.0,0,1.0,1012.1,87,10.0,雨
2001/10/18,19.8,12.1,0.0,2.9,2.4,1014.4,64,5.8,曇後晴
2001/10/19,22.2,11.0,0,10.6,1.6,1024.1,63,3.5,晴
2001/10/20,22.7,8.0,0,10.3,1.6,1028.2,59,5.8,晴後一時薄曇
2001/10/21,19.0,14.5,0.0,0,1.5,1026.0,73,10.0,曇時々雨
2001/10/22,20.4,16.1,19.0,0,1.5,1018.8,82,10.0,雨
2001/10/23,24.1,13.9,0.0,6.8,1.7,1016.5,72,6.0,晴
2001/10/24,23.0,11.8,0,6.7,1.4,1019.1,69,5.5,薄曇
2001/10/25,23.5,11.2,0,9.4,1.6,1022.0,65,0.3,晴
2001/10/26,22.5,9.4,0,9.6,1.1,1023.8,61,8.0,薄曇
2001/10/27,24.3,9.2,0,8.8,1.1,1021.8,56,10.0,薄曇一時晴
2001/10/28,24.5,15.1,6.0,1.1,1.6,1012.4,71,9.3,曇
2001/10/29,20.9,12.6,0.0,2.3,1.8,1015.0,67,8.5,曇一時雨
2001/10/30,20.7,8.7,0,9.8,1.1,1020.3,64,1.0,晴
2001/10/31,21.6,9.0,0,10.1,1.3,1021.7,63,0.3,快晴
2001/11/1,21.7,8.9,0.0,5.5,1.1,1021.4,65,7.5,曇
2001/11/2,22.0,11.5,0,6.1,1.2,1020.1,66,9.5,晴後薄曇
2001/11/3,16.4,12.6,12.5,0,1.2,1014.7,80,10.0,雨
2001/11/4,16.6,7.9,0.0,4.2,1.9,1022.7,65,6.0,晴時々曇
2001/11/5,16.5,6.5,3.0,0.1,0.9,1021.2,80,9.8,曇後時々雨
2001/11/6,17.6,8.6,9.5,3.2,1.9,1014.4,76,8.3,曇時々晴一時雨
2001/11/7,15.1,6.3,0.5,4.1,1.3,1026.0,69,4.5,雨後晴
2001/11/8,17.5,6.7,0.0,0.7,1.0,1023.9,68,9.8,曇
2001/11/9,19.5,11.3,0,1.9,1.4,1016.6,68,9.0,曇
2001/11/10,19.2,8.7,0.0,6.6,2.1,1016.0,62,3.0,晴一時曇
2001/11/11,17.5,5.6,0,8.4,1.1,1017.6,63,4.5,晴後一時曇
2001/11/12,18.3,9.1,0.0,6.2,1.6,1012.9,64,6.0,晴時々曇
2001/11/13,14.7,9.6,0.0,3.6,1.3,1014.8,61,9.8,曇一時晴
2001/11/14,15.8,5.9,0.0,2.3,1.8,1015.6,60,8.8,曇後一時晴
2001/11/15,15.3,3.7,0,7.6,1.1,1019.0,58,5.8,晴一時曇
2001/11/16,17.1,5.7,0.0,6.2,1.3,1019.7,60,2.8,晴
